ID,CURRENT_SPECIES_NAME,CURRENT_TAXONOMIC_NAME,Family,Class,thermal guild,a,b,CF,SGFGu,Range,Frequency,Abundance,MaxLength,Trophic Level,Trophic group,Trophic group2,Water column,Diel Activity,Habitat,Min depth ,Max depth ,Mean depth,IUCN,Introduced,ThermalMP_5_95,ThermalMP_5min_95max,Thermal_95thmax,TNConfidence,SGI,SGI conf
,Ancula sp. [gibbosa],Ancula spp.,Goniodorididae,Gastropoda,temperate,,,,,10,100,1,,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,,,,,,,,
,Aniculus erythraeus,Aniculus erythraeus,Diogenidae,Malacostraca,tropical,,,,,10,100,2,,,omnivore,Herbivore,benthic,,coral,,,,NA,No,26.152,26.273,28.733,1,,
,Antedon mediterranea,Antedon mediterranea,Antedonidae,Crinoidea,temperate,,,,,10,100,1,20,,Planktivore,Planktivore,benthic,Night,rock,,,,NA,No,16.793,17.263,22.696,1,,
,Anthenea australiae,Anthenea australiae,Oreasteridae,Asteroidea,temperate,,,,,10,100,5,19,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,NA,No,20.305775,20.4035,23.731,1,,
,Anthenea sidneyensis,Anthenea sidneyensis,Oreasteridae,Asteroidea,temperate,,,,,10,100,35,12,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,NA,No,19.722,19.5645,23.905,1,,
,Aphareus rutilans,Aphareus rutilans,Lutjanidae,Actinopterygii,tropical,,,,,10,100,2,70,4.1,Higher carnivore,Higher carnivore,Demersal,Day,rock,,,,,,21.7702,20.9657,31.207,1,,
,Aphelodoris gigas,Aphelodoris gigas,Dorididae,Gastropoda,tropical,,,,,10,100,1,12,,Benthic invertivore,Benthic invertivore,benthic,,coral,,,,NA,No,26.862,26.889,30.903,1,,
,Aplysia kurodai,Aplysia kurodai,Aplysiidae,Gastropoda,temperate,,,,,10,100,1,,,Scraping herbivore,Herbivore,benthic,,rock,,,,NA,No,20.933,21.514,27.8,1,,
,Apogon notatus,Apogon notatus,Apogonidae,Actinopterygii,temperate,,,,,260,100,313,10,3.5,Benthic invertivore,Benthic invertivore,pelagic site attached,Night,rock,0,2,,LC,No,22.2345,23.2895,31.136,1,5.0800984,1
,Apogon schlegeli,Apogon schlegeli,Apogonidae,Actinopterygii,temperate,,,,,10,100,4,10,3.5,Benthic invertivore,Benthic invertivore,pelagic site attached,Night,rock,,,,NA,No,21.619,22.121,28.166,1,,
