"latitude","longitude","survey_date","survey_id","mean_sst","median_sst","q95_sst","q05_sst","min_sst","max_sst"
-35.0976,138.47749,2022-08-31,923401349,17.4134062927497,17.31,21.835,12.785,12.3,23.26
-35.0976,138.47749,2022-08-31,923401328,17.4134062927497,17.31,21.835,12.785,12.3,23.26
-35.14748,138.46303,2022-03-25,923401348,17.2494528043776,17.09,21.725,12.755,12.4,23.13
-35.14748,138.46303,2022-03-25,923401333,17.2494528043776,17.09,21.725,12.755,12.4,23.13
-35.0525,138.5027,2022-08-31,923401347,17.4179616963064,17.3,21.865,12.775,12.23,23.29
-35.0525,138.5027,2022-08-31,923401322,17.4179616963064,17.3,21.865,12.775,12.23,23.29
-35.2065,138.4622,2022-03-25,923401346,17.1645417236662,17,21.47,12.86,12.52,22.9
-35.2065,138.4622,2022-03-25,923401326,17.1645417236662,17,21.47,12.86,12.52,22.9
-35.0525,138.5027,2022-03-23,923401345,17.2877975376197,17.14,21.865,12.715,12.23,23.29
-35.0525,138.5027,2022-03-23,923401335,17.2877975376197,17.14,21.865,12.715,12.23,23.29
-35.14741,138.46365,2022-04-08,923401344,17.2641723666211,17.09,21.725,12.755,12.4,23.13
-35.14741,138.46365,2022-04-08,923401325,17.2641723666211,17.09,21.725,12.755,12.4,23.13
-35.2091,138.46429,2022-03-25,923401343,17.1645417236662,17,21.47,12.86,12.52,22.9
-35.2091,138.46429,2022-03-25,923401323,17.1645417236662,17,21.47,12.86,12.52,22.9
-35.0736,138.49429,2022-09-06,923401342,17.4128317373461,17.31,21.835,12.785,12.3,23.26
-35.0736,138.49429,2022-09-06,923401324,17.4128317373461,17.31,21.835,12.785,12.3,23.26
-35.1394,138.45799,2022-03-23,923401341,17.2469083447332,17.09,21.725,12.755,12.4,23.13
-35.1394,138.45799,2022-03-23,923401321,17.2469083447332,17.09,21.725,12.755,12.4,23.13
-22.3645000457764,166.262817382812,2021-12-04,923401320,24.8890560875513,24.86,27.94,22.315,21.7,29.04
-22.3304290771484,166.220718383789,2021-12-21,923401319,24.9752667578659,24.92,28.025,22.355,21.78,29.1
-21.6877307891846,165.4638671875,2022-08-14,923401318,25.5832421340629,25.56,28.61,22.735,22.31,29.37
-22.3409996032715,166.238265991211,2021-12-21,923401317,24.9752667578659,24.92,28.025,22.355,21.78,29.1
-21.6895999908447,165.462356567383,2022-08-07,923401316,25.5752257181943,25.56,28.61,22.735,22.31,29.37
-22.0169792175293,165.920593261719,2021-11-27,923401315,25.1912722298222,25.14,28.29,22.545,22.11,29.24
-22.3007392883301,166.436553955078,2022-01-14,923401314,24.888755129959,24.95,27.88,22.205,21.44,29.07
-22.3653202056885,166.267959594727,2021-11-13,923401313,24.8390287277702,24.74,27.94,22.315,21.7,29.04
-22.363410949707,166.261245727539,2021-12-04,923401312,24.8890560875513,24.86,27.94,22.315,21.7,29.04
-21.6080894470215,165.339416503906,2022-08-06,923401311,25.5658276333789,25.59,28.535,22.74,22.4,29.19
-23.31925,113.7807,2022-08-08,923401310,24.8812859097127,24.76,27.98,22.29,21.78,28.99
-23.31925,113.7807,2022-08-08,923401277,24.8812859097127,24.76,27.98,22.29,21.78,28.99
-23.31925,113.7807,2022-08-08,923401259,24.8812859097127,24.76,27.98,22.29,21.78,28.99
-23.20194,113.76248,2022-08-08,923401309,24.9664979480164,24.84,28.06,22.34,21.96,29.01
-23.20194,113.76248,2022-08-08,923401258,24.9664979480164,24.84,28.06,22.34,21.96,29.01
-23.21313,113.76296,2022-08-07,923401308,24.9664979480164,24.84,28.06,22.34,21.96,29.01
-23.21313,113.76296,2022-08-07,923401290,24.9664979480164,24.84,28.06,22.34,21.96,29.01
-22.09786,113.88472,2022-08-12,923401307,25.8517783857729,25.68,29.015,23.21,22.82,29.98
-22.09786,113.88472,2022-08-12,923401269,25.8517783857729,25.68,29.015,23.21,22.82,29.98
-23.17701,113.75987,2022-08-07,923401306,25.0102462380301,24.89,28.135,22.34,21.92,29.06
-23.17701,113.75987,2022-08-07,923401282,25.0102462380301,24.89,28.135,22.34,21.92,29.06
-23.17701,113.75987,2022-08-07,923401263,25.0102462380301,24.89,28.135,22.34,21.92,29.06
-23.14152,113.75364,2022-08-09,923401305,25.0484952120383,24.95,28.195,22.33,21.88,29.11
-23.14152,113.75364,2022-08-09,923401285,25.0484952120383,24.95,28.195,22.33,21.88,29.11
-23.14152,113.75364,2022-08-09,923401261,25.0484952120383,24.95,28.195,22.33,21.88,29.11
-23.12872,113.75232,2022-08-07,923401304,25.0489056087551,24.95,28.195,22.33,21.88,29.11
-23.12872,113.75232,2022-08-07,923401281,25.0489056087551,24.95,28.195,22.33,21.88,29.11
-23.12872,113.75232,2022-08-07,923401247,25.0489056087551,24.95,28.195,22.33,21.88,29.11
-23.11234,113.75042,2022-08-05,923401303,25.0477017783858,24.95,28.195,22.33,21.88,29.11
-23.11234,113.75042,2022-08-05,923401287,25.0477017783858,24.95,28.195,22.33,21.88,29.11
-23.11234,113.75042,2022-08-05,923401280,25.0477017783858,24.95,28.195,22.33,21.88,29.11
-23.19995,113.76354,2022-08-06,923401302,25.009781121751,24.89,28.135,22.34,21.92,29.06
-23.19995,113.76354,2022-08-06,923401288,25.009781121751,24.89,28.135,22.34,21.92,29.06
-23.19995,113.76354,2022-08-06,923401265,25.009781121751,24.89,28.135,22.34,21.92,29.06
-23.16925,113.75708,2022-08-09,923401301,25.0099042407661,24.89,28.135,22.34,21.92,29.06
-23.16925,113.75708,2022-08-09,923401267,25.0099042407661,24.89,28.135,22.34,21.92,29.06
-23.20838,113.76328,2022-08-06,923401300,24.9661149110807,24.84,28.06,22.34,21.96,29.01
-23.20838,113.76328,2022-08-06,923401283,24.9661149110807,24.84,28.06,22.34,21.96,29.01
-22.92875,113.77937,2022-08-05,923401299,25.186169630643,25.16,28.4,22.48,21.81,29.37
-22.92875,113.77937,2022-08-05,923401268,25.186169630643,25.16,28.4,22.48,21.81,29.37
-22.92875,113.77937,2022-08-05,923401246,25.186169630643,25.16,28.4,22.48,21.81,29.37
-23.12627,113.76158,2022-08-05,923401298,25.0477017783858,24.95,28.195,22.33,21.88,29.11
-23.12627,113.76158,2022-08-05,923401260,25.0477017783858,24.95,28.195,22.33,21.88,29.11
-23.12142,113.75562,2022-08-07,923401297,25.0489056087551,24.95,28.195,22.33,21.88,29.11
-23.12142,113.75562,2022-08-07,923401257,25.0489056087551,24.95,28.195,22.33,21.88,29.11
-23.33246,113.77923,2022-08-08,923401296,24.8812859097127,24.76,27.98,22.29,21.78,28.99
-23.33246,113.77923,2022-08-08,923401272,24.8812859097127,24.76,27.98,22.29,21.78,28.99
-23.33246,113.77923,2022-08-08,923401249,24.8812859097127,24.76,27.98,22.29,21.78,28.99
-23.04473,113.81843,2022-08-11,923401295,25.0893980848153,25.07,28.275,22.345,21.72,29.2
-23.04473,113.81843,2022-08-11,923401275,25.0893980848153,25.07,28.275,22.345,21.72,29.2
-21.83921,114.17564,2022-08-11,923401294,25.6984952120383,25.58,29.04,22.92,22.49,30.17
-21.83921,114.17564,2022-08-11,923401270,25.6984952120383,25.58,29.04,22.92,22.49,30.17
-21.83921,114.17564,2022-08-11,923401252,25.6984952120383,25.58,29.04,22.92,22.49,30.17
-23.14221,113.76709,2022-08-10,923401293,25.0475239398085,24.95,28.195,22.33,21.88,29.11
-23.14221,113.76709,2022-08-10,923401256,25.0475239398085,24.95,28.195,22.33,21.88,29.11
-23.098,113.79429,2022-08-12,923401292,25.0793296853625,24.98,28.24,22.38,21.84,29.15
-23.098,113.79429,2022-08-12,923401254,25.0793296853625,24.98,28.24,22.38,21.84,29.15
-21.83633,114.17777,2022-08-11,923401291,25.6984952120383,25.58,29.04,22.92,22.49,30.17
-21.83633,114.17777,2022-08-11,923401284,25.6984952120383,25.58,29.04,22.92,22.49,30.17
-21.83633,114.17777,2022-08-11,923401264,25.6984952120383,25.58,29.04,22.92,22.49,30.17
-23.17989,113.76169,2022-08-09,923401289,25.0099042407661,24.89,28.135,22.34,21.92,29.06
-23.17989,113.76169,2022-08-09,923401253,25.0099042407661,24.89,28.135,22.34,21.92,29.06
-23.13496,113.7404,2022-08-06,923401286,25.0745143638851,24.96,28.2,22.4,21.99,29.08
-23.13496,113.7404,2022-08-06,923401251,25.0745143638851,24.96,28.2,22.4,21.99,29.08
-22.86905,113.76443,2022-08-05,923401279,25.2199452804378,25.23,28.465,22.455,21.75,29.52
-22.86905,113.76443,2022-08-05,923401266,25.2199452804378,25.23,28.465,22.455,21.75,29.52
-22.86905,113.76443,2022-08-05,923401262,25.2199452804378,25.23,28.465,22.455,21.75,29.52
-23.09197,113.73966,2022-08-11,923401278,25.1070041039672,25.03,28.275,22.435,21.95,29.13
-23.09197,113.73966,2022-08-11,923401248,25.1070041039672,25.03,28.275,22.435,21.95,29.13
-23.17642,113.76097,2022-08-08,923401276,25.0102735978112,24.89,28.135,22.34,21.92,29.06
-23.17642,113.76097,2022-08-08,923401273,25.0102735978112,24.89,28.135,22.34,21.92,29.06
-23.2175,113.75466,2022-08-06,923401274,24.9661149110807,24.84,28.06,22.34,21.96,29.01
-23.2175,113.75466,2022-08-06,923401271,24.9661149110807,24.84,28.06,22.34,21.96,29.01
-23.16108,113.75875,2022-08-09,923401250,25.0099042407661,24.89,28.135,22.34,21.92,29.06
-23.16108,113.75875,2022-08-09,923401245,25.0099042407661,24.89,28.135,22.34,21.92,29.06
-43.2729187011719,147.143432617188,2022-03-04,923401244,13.9407387140903,13.61,17.73,11.235,10.88,18.98
-43.2729187011719,147.143432617188,2022-03-04,923401243,13.9407387140903,13.61,17.73,11.235,10.88,18.98
-43.2729187011719,147.143432617188,2022-03-04,923401230,13.9407387140903,13.61,17.73,11.235,10.88,18.98
-43.2729187011719,147.143432617188,2022-03-04,923401229,13.9407387140903,13.61,17.73,11.235,10.88,18.98
